,Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Selling,Research & Development,Interest Expense, Net Pretax Income (Loss),Pretax Income (Loss),Income Tax (Expense) Benefit,Net Income
1774,A,45846,USD,2019,FY,2019-10-31,2019-12-19,2021-12-17,314000000.0,318000000.0,5163000000.0,-2358000000.0,2805000000.0,-1864000000.0,-1460000000.0,,919000000.0,,152000000.0,1071000000.0,1071000000.0
1775,A,45846,USD,2020,FY,2020-10-31,2020-12-18,2022-12-21,309000000.0,312000000.0,5339000000.0,-2502000000.0,2837000000.0,-1991000000.0,-1496000000.0,,842000000.0,,-123000000.0,719000000.0,719000000.0
1776,A,45846,USD,2021,FY,2021-10-31,2021-12-17,2023-12-20,305000000.0,307000000.0,6319000000.0,-2912000000.0,3407000000.0,-2060000000.0,-1619000000.0,,1360000000.0,,-150000000.0,1210000000.0,1210000000.0
1777,A,45846,USD,2022,FY,2022-10-31,2022-12-21,2024-12-20,304000000.0,307000000.0,6848000000.0,-3126000000.0,3722000000.0,-2104000000.0,-1637000000.0,,1504000000.0,,-250000000.0,1254000000.0,1254000000.0
1778,A,45846,USD,2023,FY,2023-10-31,2023-12-20,2024-12-20,294000000.0,296000000.0,6833000000.0,-3368000000.0,3465000000.0,-2115000000.0,-1634000000.0,,1339000000.0,,-99000000.0,1240000000.0,1240000000.0
0,AAL,68568,USD,2019,FY,2019-12-31,2020-02-19,2022-02-22,443363000.0,444269000.0,45768000000.0,-32654000000.0,13114000000.0,-10049000000.0,-2004000000.0,-1982000000.0,2256000000.0,,-570000000.0,1686000000.0,1686000000.0
1,AAL,68568,USD,2020,FY,2020-12-31,2021-02-17,2023-02-22,483888000.0,483888000.0,17337000000.0,-22523000000.0,-5186000000.0,-5235000000.0,-666000000.0,-2040000000.0,-11453000000.0,,2568000000.0,-8885000000.0,-8885000000.0
2,AAL,68568,USD,2021,FY,2021-12-31,2022-02-22,2024-02-21,648766000.0,648766000.0,29882000000.0,-27836000000.0,2046000000.0,-7111000000.0,-1098000000.0,-2019000000.0,-6554000000.0,4006000000.0,555000000.0,-1993000000.0,-1993000000.0
3,AAL,68568,USD,2022,FY,2022-12-31,2023-02-22,2024-02-21,650345000.0,655122000.0,48971000000.0,-37957000000.0,11014000000.0,-9214000000.0,-1815000000.0,-1977000000.0,379000000.0,-193000000.0,-59000000.0,127000000.0,127000000.0
4,AAL,68568,USD,2023,FY,2023-12-31,2024-02-21,2024-02-21,653612000.0,719669000.0,52788000000.0,-39042000000.0,13746000000.0,-9741000000.0,-1799000000.0,-1936000000.0,2092000000.0,-971000000.0,-299000000.0,822000000.0,822000000.0
63,AAPL,111052,USD,2019,FY,2019-09-30,2019-10-31,2021-10-29,18471336000.0,18595652000.0,260174000000.0,-161782000000.0,98392000000.0,-34462000000.0,-18245000000.0,,65737000000.0,,-10481000000.0,55256000000.0,55256000000.0
64,AAPL,111052,USD,2020,FY,2020-09-30,2020-10-30,2022-10-28,17352119000.0,17528214000.0,274515000000.0,-169559000000.0,104956000000.0,-38668000000.0,-19916000000.0,,67091000000.0,,-9680000000.0,57411000000.0,57411000000.0
65,AAPL,111052,USD,2021,FY,2021-09-30,2021-10-29,2023-11-03,16391724000.0,16519291000.0,365817000000.0,-212981000000.0,152836000000.0,-43887000000.0,-21973000000.0,,109207000000.0,,-14527000000.0,94680000000.0,94680000000.0
66,AAPL,111052,USD,2022,FY,2022-09-30,2022-10-28,2024-11-01,16215963000.0,16325819000.0,394328000000.0,-223546000000.0,170782000000.0,-51345000000.0,-25094000000.0,,119103000000.0,,-19300000000.0,99803000000.0,99803000000.0
